,Unnamed: 0,title,category,review_count,review_rating,latitude,longitude,thumbnail,order_online
10,10,K's Kitchen,Restaurant,303,4.1,19.21072,73.09197,https://lh5.googleusercontent.com/p/AF1QipPjz6nFbfzQBywN83f1-B3Vw-Os_9vRXdnLHTYT=w408-h306-k-no,https://www.swiggy.com/restaurants/ks-kitchen-dombivali-east-dombivli-mumbai-56823?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
11,11,ZODIAC LOUNGE & FAMILY DINING DOMBIVLI,Family restaurant,127,4.5,19.230156,73.11291,https://lh5.googleusercontent.com/p/AF1QipP8kKupHXf0ce3Pdd_YIRW-1NWnTKE07q4EzLQ1=w408-h306-k-no,
12,12,Dreamland Cuisine,Restaurant,182,3.6,19.217556,73.087667,https://lh5.googleusercontent.com/p/AF1QipNfh63h6CIepDquSpumXem7PSec3buqoJxXsJmo=w408-h272-k-no,https://magicpin.in/Mumbai/Dombivali/Food/Dreamland-Cuisine/store/310a8c/delivery/?utm_source=reserve_google&utm_campaign=starter_integration&utm_medium=delivery&rwg_token=AOZt1jXn5EYdrAsoMw2yRFxqL_70p3M_oruxLEJyDCBkl-I5LwHQIL1Uwsha9wpjb770KASYpZQKHRcHZNeYA6DbJKFc9MC3q61Ufz2tin2pe6BJOFNgwUY%3D
13,13,Rangoli Restrobar,Restaurant,1225,4.1,19.21434,73.09139,https://lh5.googleusercontent.com/p/AF1QipMtVViHe3pqKazDLGAWHV6e8Hg68rNjPTeatuHf=w408-h306-k-no,
14,14,Sp Garden,Restaurant,164,3.5,19.205592,73.115249,https://lh5.googleusercontent.com/p/AF1QipPP_SloXhorV6OsASy7T8amTk3R_qcKasQpBIGr=w426-h240-k-no,https://www.dineout.co.in/mumbai/spicy-garden-and-family-restaurant-dombivli-east-dombivali-97456
15,15,Modern's kitchen,Restaurant,1902,3.9,19.218162,73.08883,https://lh5.googleusercontent.com/p/AF1QipNZb7ywT7RYIQsCqmKu_Ne3b8ZWFpx91whC2GAw=w408-h906-k-no,https://www.swiggy.com/restaurants/modern-kitchen-bajiprabhu-chowk-dombivli-mumbai-40128?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
16,16,Center Point Kitchen,Chinese restaurant,121,3.8,19.217863,73.084801,https://lh5.googleusercontent.com/p/AF1QipNgZ6VDw2qwATRl2xaQLehiSVauMmjJaKqHMl4=w408-h306-k-no,https://www.swiggy.com/restaurants/center-point-nx-kitchen-dombivali-west-dombivli-mumbai-55372?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
17,17,Kamaths Govindashram - Dombivli,Vegetarian restaurant,3152,4.0,19.214499,73.091059,https://lh5.googleusercontent.com/p/AF1QipNsdELxhOL_oteZcOZnc1gJsY0hAcFcL-HZD4zp=w408-h311-k-no,https://www.swiggy.com/restaurants/kamaths-govindashram-dombivali-east-dombivli-mumbai-68543?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
18,18,La Celebrita Food Studio,Italian restaurant,1009,4.1,19.213901,73.103856,https://lh5.googleusercontent.com/p/AF1QipOVqU0tCbJdlTGeqy8KNmMJEu1-2P-9srrTk7sf=w493-h240-k-no,https://www.swiggy.com/restaurants/la-celebrita-food-studio-east-dombivli-mumbai-43210?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
19,19,VIKAS KITCHEN,Takeout restaurant,116,3.5,19.204355,73.091058,https://lh5.googleusercontent.com/p/AF1QipPUhK-eSsSRbLI0R8TOkroZ0G77b1ZnsZMP5EGi=w426-h240-k-no,https://www.swiggy.com/restaurants/vikas-kitchen-dombivli-mumbai-83482?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
20,20,Gaurav bar and restaurants,Restaurant,188,4.1,19.221351,73.087344,https://lh5.googleusercontent.com/p/AF1QipOcGK0Ktujw2xhuDsrl1dfKkywda2Y2XJQrbXo=w408-h306-k-no,https://www.swiggy.com/restaurants/hotel-gaurav-dombivli-mumbai-163637?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
21,21,New Modern Cafe,South Indian restaurant,9920,4.1,19.219129,73.090343,https://lh5.googleusercontent.com/p/AF1QipNaFuDD3Fe4buvdyTnWz_uFmEOYaNtQoX0Ym_77=w408-h306-k-no,https://www.swiggy.com/restaurants/new-modern-cafe-pure-veg-dombivali-east-dombivli-mumbai-34829?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
22,22,Leeds Kinara Family Restaurant & Bar [HOTEL SUPRIYA],Restaurant,116,3.9,19.215261,73.096475,https://lh5.googleusercontent.com/p/AF1QipM1cImORtX1kYYmli_3PRw90BnerFWUWM_08snV=w426-h240-k-no,
23,23,Annapurna family Restaurant And Bar,Family restaurant,1841,4.0,19.19653,73.099279,https://lh5.googleusercontent.com/p/AF1QipPbRGud1YePXk7jDRwBLel_83w_n6-kco99Kt7G=w408-h306-k-no,https://www.swiggy.com/restaurants/anna-purna-gandhi-nagar-dombivli-mumbai-437702?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
24,24,CIBO Multi Cuisine Family Restaurant and Sports Bar,Family restaurant,2814,4.2,19.218454,73.105087,https://lh5.googleusercontent.com/p/AF1QipNM6DlQlm5GpBo_TPjcDochpPbZJMqfznCdqEcH=w408-h306-k-no,
25,25,Regency Family Restaurant,Family restaurant,1834,4.0,19.215148,73.094246,https://lh5.googleusercontent.com/p/AF1QipOTKUhNP28_NaKZr_JvlUGoQjM6fnefnMIsFL1I=w426-h240-k-no,https://www.swiggy.com/restaurants/regency-family-restaurant-dombivali-east-dombivli-mumbai-69230?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
26,26,"Food Village Family Restaurant , Dombivli",North Indian restaurant,894,4.2,19.200115,73.085791,https://lh5.googleusercontent.com/p/AF1QipN1hRXkgryFOiJ61hCmbsaZluj_C6pfVD3c_NJe=w426-h240-k-no,https://www.facebook.com/thefoodvillagedombivli/app/288523881080/
27,27,Gurudev Family Restaurant & Bar,Restaurant,396,3.8,19.215707,73.087075,https://lh5.googleusercontent.com/p/AF1QipOk9OdtRxBCG9WpxvIMOAJwgXlohuSskhj21Ft9=w408-h544-k-no,https://www.swiggy.com/restaurants/hotel-gurudev-dombivli-mumbai-200519?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
28,28,Best Choice Restaurant,Fast food restaurant,118,3.8,19.213506,73.086826,https://lh5.googleusercontent.com/p/AF1QipPNNdpzKHhsZjroPcIp2QTT-VXyxx4B9OHIiIGF=w408-h543-k-no,https://www.swiggy.com/restaurants/best-choice-restaurant-dombivali-east-dombivli-mumbai-37981?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
29,29,Yash Exotica,Restaurant,1510,4.1,19.215663,73.085318,https://lh5.googleusercontent.com/p/AF1QipOAngRJK1JyM0fQlZN2Xct6JiZ34WMvJI3NPpNq=w408-h306-k-no,https://www.swiggy.com/restaurants/yash-exotica-dombivli-mumbai-134219?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
30,30,Coastal Kitchen,Restaurant,267,4.5,19.220098,73.087386,https://lh5.googleusercontent.com/p/AF1QipOL-tKzOpoOB1ocfJRIR5Y-kAT_TFcitiT84fwE=w408-h240-k-no-pi-0-ya0-ro-0-fo100,https://coastalkitchen.in
31,31,Tarkari Take Away Restaurant,Fast food restaurant,149,4.1,19.212669,73.092294,https://lh5.googleusercontent.com/p/AF1QipN9oujLCZxuoV9WiFkYk4VTJrmiuVLZ7SY5H35Q=w408-h408-k-no,https://magicpin.in/Mumbai/Dombivali/Food/Tarkari/store/3a009a/delivery/?utm_source=reserve_google&utm_campaign=starter_integration&utm_medium=delivery&rwg_token=AOZt1jXviG2yit0F8amotDBUuD6fCcr3pPbDRG0DSlpRu9UhgM5u0rW7-uVFX9mKYdMjYBt8d0Bn51JFOVm-798IVXsDfiffqMIBmBTAQDb5HA-3dfawSMI%3D
32,32,Al Fresco,Restaurant,1486,4.0,19.214928,73.086202,https://lh5.googleusercontent.com/p/AF1QipNpm3065MD15Lvuo7FkTeIT5pjmLoemCd-EPqyX=w408-h305-k-no,https://www.swiggy.com/restaurants/al-fresco-dombivali-east-dombivli-mumbai-37974?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
33,33,Kith and Kin Restaurant - KK | Veg & Non Veg Restaurant in Dombivli,Family restaurant,901,4.2,19.218223,73.094605,https://lh5.googleusercontent.com/p/AF1QipOke7_bHWAxBRDJ5twD2KQcLFv9BI7pZf7DbsM=w408-h544-k-no,https://www.swiggy.com/restaurants/kith-and-kin-ganesh-mandir-road-dombivli-mumbai-37987?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
34,34,Sunny Family Bar and Restaurant,North Indian restaurant,1573,4.2,19.216304,73.09215,https://lh5.googleusercontent.com/p/AF1QipM3saF1LpEAC8QI_3gLRd9bzmRIblNhHzMBZHo=w408-h544-k-no,https://www.swiggy.com/restaurants/sunny-fine-dine-dombivali-east-dombivli-mumbai-56610?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
35,35,Hotel Suyog Family Restaurant,North Indian restaurant,2815,4.0,19.208752,73.111307,https://lh5.googleusercontent.com/p/AF1QipOSubPBXtG5VmkfG1rIvLUJ5aeVh5BeMA5WnmAj=w532-h240-k-no,https://www.swiggy.com/restaurants/hotel-suyog-dombivli-mumbai-209577?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
36,36,Modern's China Kitchen,Chinese restaurant,225,3.9,19.215983,73.088874,https://lh5.googleusercontent.com/p/AF1QipNxdtfFQVVpb0KZzhKsHKZ2MTqs49Byod4zo8Pc=w408-h306-k-no,https://www.zomato.com/mumbai/moderns-kitchen-dombivali-east/book
37,37,Four Season,Restaurant,718,4.0,19.218371,73.10451,https://lh5.googleusercontent.com/p/AF1QipOVMNwKwjjNu0uxTPDEjvaWO_Hz4bvJUn3YwCmF=w408-h273-k-no,https://www.swiggy.com/restaurants/four-seasons-restaurant-dombivali-east-dombivli-mumbai-48746?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
38,38,Hotel Sai Pooja Bar & Restaurant,Restaurant,505,4.1,19.217356,73.086611,https://lh5.googleusercontent.com/p/AF1QipOHHTjcvLwZoOeMeLejKbWqqP2USAw-bGUIAMA=w480-h240-k-no,https://www.swiggy.com/restaurants/sai-pooja-bar-and-restaurant-ram-nagar-dombivli-mumbai-419621?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
39,39,Zaika Fine Dine,Family restaurant,706,4.2,19.205807,73.095152,https://lh5.googleusercontent.com/p/AF1QipMSsKiivnhJLrw0scxm4JLa3OjucoMBB85Ao0hw=w408-h306-k-no,https://www.zomato.com/mumbai/zaika-fine-dine-dombivali-east-thane/menu/book
40,40,Kerala Fast Food,Fast food restaurant,160,3.9,19.221932,73.080725,https://lh5.googleusercontent.com/p/AF1QipMDF6oAT-qKP4pokNDLybBtv9izZMCkjg8js5Cm=w408-h306-k-no,
41,41,Konkan Curry Seafood Restaurant,Seafood restaurant,347,4.4,19.213857,73.103809,https://lh5.googleusercontent.com/p/AF1QipN7YZf89SrChuWUFPP5qobVn3ENd4kS0lZN7QdE=w408-h544-k-no,
42,42,R's Oriental,Indian restaurant,833,4.0,19.204954,73.103351,https://lh5.googleusercontent.com/p/AF1QipNeG3qVcHWYYYUN4yTxqkZE1KKADDhBhinV_slW=w426-h240-k-no,https://www.swiggy.com/restaurants/rs-oriental-dombivali-east-dombivli-mumbai-37978?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
43,43,Tara Palace,Restaurant,819,4.0,19.220605,73.090929,https://lh5.googleusercontent.com/p/AF1QipNkQwChiY-1MSWu3ZPJ1Gjk7vfzEE4B5IsdUKGa=w408-h306-k-no,https://www.swiggy.com/restaurants/hotel-tara-palace-nehru-road-dombivli-mumbai-492089?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
44,44,The Food Town,Restaurant,2124,4.4,19.219905,73.091931,https://lh5.googleusercontent.com/p/AF1QipP0edCwbFW0DtItwzoNFkCkOFP8JDaVj3fdOR1p=w408-h306-k-no,https://www.swiggy.com/restaurants/the-food-town-phadke-road-dombivli-mumbai-175561?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
45,45,Red Chilly® NX Family Restaurant,Family restaurant,143,3.5,19.223393,73.086971,https://lh5.googleusercontent.com/p/AF1QipPT2mLNOWhrGsbXr4xRCWjtNKB6kpBztHQ7_Ns=w408-h439-k-no,https://www.swiggy.com/restaurants/red-chilly-nx-dombivli-mumbai-251897?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
46,46,Modern's kitchen,Restaurant,1902,3.9,19.218162,73.08883,https://lh5.googleusercontent.com/p/AF1QipNZb7ywT7RYIQsCqmKu_Ne3b8ZWFpx91whC2GAw=w408-h906-k-no,https://www.swiggy.com/restaurants/modern-kitchen-bajiprabhu-chowk-dombivli-mumbai-40128?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
47,47,Bollywood Canteen,Restaurant,736,4.0,19.217215,73.091861,https://lh5.googleusercontent.com/p/AF1QipNgOU9P5fCcn4ck0EB5D0o95rFlfCQ21TT_a2RK=w426-h240-k-no,https://wa.me/message/4BESWMYUGGACH1
48,48,SONALI FAMILY RESTAURANT AND BAR,Family restaurant,2391,4.0,19.212825,73.106456,https://lh5.googleusercontent.com/p/AF1QipPguABFLMSxY0BG36HmZOeb3cNNx-w8EGyq30dt=w493-h240-k-no,https://wa.link/crpnzu
49,49,Prasad Hotel,Restaurant,506,4.1,19.223178,73.087865,https://lh5.googleusercontent.com/p/AF1QipOd--5V7osxZAwFe3ekNGL1SXWWjfv0OOrkwou5=w408-h725-k-no,
50,50,Hotel Shree Satkar,Seafood restaurant,1092,4.0,19.21719,73.088214,https://lh5.googleusercontent.com/p/AF1QipPUHln3N4IERG02lqLqnxzvGJc1gq7moMNx91Ds=w426-h240-k-no,
51,51,2 Hearts Family Restro,Chinese restaurant,442,3.7,19.212448,73.092472,https://lh5.googleusercontent.com/p/AF1QipMaDWO33AgZpXYm6IifePTv32w8c8dkCsQ49x14=w408-h306-k-no,https://magicpin.in/Mumbai/Dombivali/Restaurant/2-Hearts-Family-Restro/store/121385/delivery/?utm_source=gbp
52,52,Tawa Tadka,Restaurant,473,3.7,19.219477,73.090411,https://lh5.googleusercontent.com/p/AF1QipMCZXrayIDcQUwD4_m_lhkjKxTzYf6cSg2Mz4sM=w426-h240-k-no,https://magicpin.in/Mumbai/Dombivali-East/Food/Tawa-Tadka/store/8b883/delivery/?utm_source=reserve_google&utm_campaign=starter_integration&utm_medium=delivery&rwg_token=AOZt1jUvbYUy2eaeWrLrXrtOun-FkE0sSyg2gAIy5AmDdoX-7MVAD14spg65csGQ9xujgAPZwQeJVqDI7sa1i9rI2koPbr9mQBv1LYRXsuXfWh2sT1p-ppI%3D
53,53,Nakshatra Village hotel,North Indian restaurant,3584,4.2,19.219868,73.107697,https://lh5.googleusercontent.com/p/AF1QipOdQ5BcAu_Dw4lPeySSrPqNoyAjOc_qG_QeQx6C=w426-h240-k-no,http://www.nakshatravillage.com/
54,54,Kabadi's Kitchen Art,Chinese restaurant,169,4.0,19.214094,73.09125,https://lh5.googleusercontent.com/p/AF1QipNr6KCIrH7hB3Q2M9lmmt5j7PF0q0vl2z3qJSIi=w408-h306-k-no,https://www.zomato.com/mumbai/kabadis-kitchen-art-dombivali-east/book
55,55,Bebo Family Restaurant,Chinese restaurant,213,4.0,19.203428,73.09049,https://lh5.googleusercontent.com/p/AF1QipNjIARG_2f7DXcUUlUGtymQHKZzvHybjAORpE4t=w480-h240-k-no,https://www.swiggy.com/restaurants/bebo-family-restaurant-dombivali-east-dombivli-mumbai-57753?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
56,56,Shri Chinese Corner,Chinese restaurant,183,3.8,19.215558,73.095156,https://lh5.googleusercontent.com/p/AF1QipNa7S4_yo-svmNpWH1yhu0zGySK_3dzsQKHwi1D=w408-h725-k-no,
57,57,Modern Pride,Family restaurant,777,4.1,19.215104,73.091184,https://lh5.googleusercontent.com/p/AF1QipNLZfAShR4ZXpcwTF3YFFgA2JMOOk6Xdy_xXo3J=w408-h306-k-no,https://www.swiggy.com/restaurants/modern-pride-dombivali-east-dombivli-mumbai-34831?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
